Country,2015
Aruba,
Andorra,
Afghanistan,19199437989
Angola,1.02643E+11
Albania,11455595709
Arab World,2.5301E+12
United Arab Emirates,3.70293E+11
Argentina,
Armenia,10561401185
American Samoa,
Antigua and Barbuda,1297285370
Australia,1.33954E+12
Austria,3.74056E+11
Azerbaijan,53047140347
Burundi,3085184837
Belgium,4.54039E+11
Benin,8476125181
Burkina Faso,11099473097
Bangladesh,1.95079E+11
Bulgaria,48952959080
Bahrain,32221489362
"Bahamas, The",8884441432
Bosnia and Herzegovina,15995392118
Belarus,54608962635
Belize,1763000000
Bermuda,
Bolivia,33196819572
Brazil,1.77472E+12
Barbados,4451000000
Brunei Darussalam,15492035784
Bhutan,1962221696
Botswana,14390863395
Central African Republic,1503299944
Canada,1.55054E+12
Central Europe and the Baltics,1.27322E+12
Switzerland,6.64738E+11
Channel Islands,
Chile,2.40216E+11
China,1.08664E+13
Cote d'Ivoire,31752543539
Cameroon,29198372811
"Congo, Rep.",8553154506
Colombia,2.9208E+11
Comoros,
Cabo Verde,1629759975
Costa Rica,51106697024
Caribbean small states,70876623388
Cuba,
Curacao,
Cayman Islands,
Cyprus,19319729400
Czech Republic,1.81811E+11
Germany,3.35577E+12
Djibouti,
Dominica,537777777.8
Denmark,2.95164E+11
Dominican Republic,67103263863
Algeria,1.66839E+11
East Asia & Pacific (excluding high income),1.30674E+13
Early-demographic dividend,9.84462E+12
East Asia & Pacific,2.12812E+13
Europe & Central Asia (excluding high income),2.88777E+12
Europe & Central Asia,1.99856E+13
Ecuador,1.00872E+11
"Egypt, Arab Rep.",3.30779E+11
Euro area,1.15397E+13
Eritrea,
Spain,1.19906E+12
Estonia,22691482755
Ethiopia,61537143095
European Union,1.62295E+13
Fragile and conflict affected situations,6.99441E+11
Finland,2.2981E+11
Fiji,4386008745
France,2.42168E+12
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,14339723935
United Kingdom,2.84876E+12
Georgia,13965385802
Ghana,37864368220
Gibraltar,
Guinea,6699203543
"Gambia, The",
Guinea-Bissau,1056851008
