"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32053.1416265572","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1647.35217986116","","","","","","","",
"Angola","AGO","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3083.04148904182","3260.37347233595","3891.77836087179","3906.4149268129","4106.22305064757","4488.27276189275","4725.11116850362","5303.60767873949","5421.33773425766","5853.976945792","5814.67487469755","5796.37157585098","6131.20411783962","6298.17507976162","6488.86905471286","6445.58965170694","6056.92338403764","5956.51179134022","",
"Albania","ALB","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4633.15180860937","4142.66062765577","4583.47371375414","5196.62130250914","5645.09593622056","6187.94216012499","6440.26534139576","6856.410141918","7245.58302788923","7651.01462863435","8268.26469436356","8818.96218746747","9229.5046706896","9262.27299519204","9747.9126365899","10210.3631424152","10222.6647823195","10829.0512471645","10886.3961805517","11219.3404322143","11708.1834483653","11980.9574826225","",
"Andorra","AND","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11473.4688916876","11495.8792248633","11288.43360805","11805.7255410819","12339.7373244279","12658.1443637365","13132.1067258418","13565.0409609306","14001.7364692678","13755.7350674064","13989.7763904498","14311.351948433","14580.2201920537","14593.8869933729","14886.3369372858","15267.8810096069","15420.8855412291","15266.4433393126","",
"United Arab Emirates","ARE","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103605.970445946","96710.1840300148","97744.1699063502","98543.6923830073","93350.3529390019","90191.3159677668","81740.6389052615","72358.7808842711","61431.0089487069","57211.1736991259","58381.9873800433","59469.1239917979","61966.0117895048","64058.4360869408","66877.1154062295","68074.3224946842","67757.7432212669","",
"Argentina","ARG","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10895.2878351706","11861.0517166948","12768.2557801285","13717.6323927848","14306.5404083857","13676.163610404","14227.2623879236","15188.2257711533","15542.3941217181","14829.0288955894","14543.262981277","13718.9815540937","11776.1477749469","12835.1784204499","12831.9805366534","13796.161313996","16075.3659727536","17459.8509535472","18001.0303668828","16660.5700981376","18085.5982299249","19068.2833613664","18776.4587355892","19075.4247386821","18427.6506588284","18776.3824867782","18187.551802536","18444.4731834525","",
"Armenia","ARM","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1988.34133500542","2167.45935161605","2402.66064554317","2594.77976509505","2725.09385856953","2827.21102308477","3006.28692483442","3324.93132574506","3813.78319461832","4357.85324899695","4822.66845854839","5600.48415935539","6425.79044185356","7423.86747196603","8042.87918659619","6809.3993153238","7060.78029395726","7271.40846227442","7799.49062640439","8180.77038796883","8318.92826951357","8507.37738223684","8342.29479726165","9109.83282643116","",
"American Samoa","ASM","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
