,Country,GINI,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,EFtotal,Human_Development_Index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_years_of_schooling,Gross_national_income_GNI_per_capita,CPI2015
105,Qatar,41.1,0.500716221,0.302174604,0.203948004,0.271343,0.104297862,28.99799688,30.38047658,0.86,78.3,13.4,9.8,129916,71
23,Canada,34,3.752028859,0.611671105,4.101415041,0.278156453,0.124748004,10.92369251,19.79171198,0.92,82.2,16.3,13.1,42582,83
75,Luxembourg,31.2,1.4602168,0.788983545,1.195296842,0.147009006,0.202722518,15.50130375,19.29553246,0.9,81.9,13.9,12,62471,81
84,Mongolia,32.3,0.497304837,9.2181929,0.281550216,0.003898521,0.13134757,8.555928235,18.68822224,0.74,69.8,14.8,9.8,10449,39
6,Australia,34.7,3.041584645,3.251808181,1.696500533,0.156290437,0.126740054,10.34121048,18.61413434,0.94,82.5,20.4,13.2,42822,79
41,Estonia,34.6,1.872480346,0.211850665,7.211248522,0.267507049,0.146427168,8.168980554,17.8784943,0.87,77,16.5,12.5,26362,70
43,Finland,26.8,1.884433267,0.219645102,7.394738234,0.423639982,0.310396108,6.976851552,17.20970424,0.9,81,17,11.2,38868,90
95,Norway,26.8,1.247504319,0.654109734,2.435765892,6.940675321,0.11042574,5.598751782,16.98723278,0.95,81.7,17.7,12.7,67614,87
128,Trinidad and Tobago,40.3,0.530592422,0.200066841,0.486465985,0.188941553,0.002616124,15.25919597,16.66787889,0.78,70.5,12.7,10.9,28049,39
122,Sweden,27.2,1.76340382,0.626378932,6.757167374,0.226121788,0.28139759,4.723030066,14.37749957,0.91,82.3,16.1,12.3,46251,89
70,Latvia,35.1,2.405080663,0.339173996,6.79203688,0.446167779,0.112037174,3.063586256,13.15808275,0.83,74.3,16,11.7,22589,55
109,Saudi Arabia,45.9,0.798628614,0.300242839,0.220489816,0.106895586,0.049151592,11.04576639,12.52117483,0.85,74.4,16.1,9.6,51320,52
35,Denmark,28.5,3.31501311,0.497858737,1.47158807,1.214585787,0.428151998,5.538325951,12.46552365,0.93,80.4,19.2,12.7,44519,91
136,Uruguay,39.7,2.14502771,5.627372307,2.719970733,0.219108184,0.29137883,1.461370167,12.46422793,0.8,77.4,15.5,8.6,19148,74
66,Kazakhstan,26.5,2.252064957,0.31505914,0.119373699,0.039811762,0.079242946,9.26154773,12.06710023,0.79,69.6,15,11.7,22093,28
74,Lithuania,37.7,3.64008726,0.351467799,2.933584985,0.628357901,0.198280886,3.846619519,11.59839835,0.85,73.5,16.5,12.7,26006,61
