,Country,GDP,GINI,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,EFtotal,Human_Development_Index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_years_of_schooling,Gross_national_income_GNI_per_capita,CPI2015
0,Afghanistan,19199437989.0,27.8,17888779.169999998,11614947.864,4141605.1859999998,9372.175455,2917637.756,8271343.09,44843685.239999995,0.48,60.7,10.1,3.6,1871.0,11.0
1,Angola,102643000000.0,42.7,15326256.536999999,4224715.366,5182497.367000001,5837614.8440000005,2289890.242,25707878.342,58568852.69,0.53,52.7,11.4,5.0,6291.0,15.0
2,Albania,11455595709.0,29.0,3021435.5039999997,1322074.5739,1318247.3009000001,100614.21641,229858.3246,4307810.853,10300040.772,0.76,78.0,14.2,9.6,10252.0,36.0
5,Armenia,10561401185.0,32.4,2931971.3,1191018.3805,1354722.1581000001,21128.773927,370092.6894,4417355.092,10286288.395,0.74,74.9,12.7,11.3,8189.0,35.0
6,Australia,1339540000000.0,34.7,71849530.3,76815514.85,40075414.86,3691955.2901999997,2993904.2819999997,244284214.5,439710534.1,0.94,82.5,20.4,13.2,42822.0,79.0
7,Austria,374056000000.0,30.5,13742220.595999999,3422267.347,15618325.474,541983.9988214,2574862.3959999997,55331324.989999995,91230984.80000001,0.89,81.6,15.9,11.3,43609.0,76.0
8,Azerbaijan,53047140347.0,31.8,8492189.074000001,3956198.662,1053199.401,85649.171568,892611.4654,23170682.36,37650530.13,0.76,70.9,12.7,11.2,16413.0,29.0
9,Burundi,3085184837.0,39.2,4688128.645,1320518.2898,5505734.199999999,51401.3204,745695.3464,476803.6068,12788281.407,0.4,57.1,10.6,3.0,691.0,21.0
10,Belgium,454039000000.0,28.1,18352955.586999997,5046792.525699999,11513099.337000001,1514358.7101999999,4281286.722,77364159.08,118072651.97,0.9,81.0,16.6,11.4,41243.0,77.0
11,Benin,8476125181.0,47.8,11910851.857,759007.0917,5415859.9350000005,1052978.8477,935274.7104,5594316.499,25668288.939999998,0.49,59.8,10.7,3.5,1979.0,37.0
12,Burkina Faso,11099473097.0,35.3,21551703.25,5665296.9290000005,12091955.433,524985.84279,2643733.988,3142332.2422,45620007.69,0.4,59.0,7.7,1.4,1537.0,38.0
13,Bangladesh,195079000000.0,32.0,96597024.43,1245859.1664999998,23334250.1,6350375.44,24895268.6,67657463.33,220080241.03,0.58,72.0,10.2,5.2,3341.0,25.0
14,Bulgaria,48952959080.0,37.4,17159703.87,1440614.3189,5199877.678,241603.4491,2310366.404,29701980.11,56054145.83,0.79,74.3,15.0,10.8,16261.0,41.0
16,Bosnia and Herzegovina,15995392118.0,33.1,3423057.7580000004,1934765.432,4448034.859,79369.9840086,109733.30614000002,14678656.909,24673618.25,0.75,76.6,14.2,9.0,10091.0,38.0
17,Belarus,54608962635.0,26.7,24233243.62,3924670.882,19313673.961999997,902579.176965,1531164.0778,43959221.16,93864552.88,0.8,71.5,15.7,12.0,15629.0,32.0
